Album;Track;MainArtist;FeaturingArtists;Singer;Line;Number
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;Big Sean;"""Straight up, late nights mixed with early days
It'll probably be that way until the pearly gates
Stress weighing on me, they want me to nervous break
These hoes showing fake love when I prefer the hate, man
Sheesh, at least if you real then I have to respect it
Realize the energy you give is what you manifested
So understand we positive as could be
The vision is still intact, the show is fresh out of seats
Boy it's never going south 'less we down in South Beach
Khaled on the jet skiis, preaching what you believe in
Everything fast 'cept the food, watch what we eating
If it add a couple years to our life, then we might go vegan
Woah, I hear a little bit of me in all your favorite rappers
You know it's true, bitch I need respect due
Now or later, either way I'mma take it
Just like it's fuckin' taxes
No wonder I'm on fire, I done been to hell and back bitch
Lately I been living life in detachment
I practice seven spiritual laws and cut off distractions
We been all in the Hollywood Hills, and never been acting
Detroit gave me an accent and Christ gave me his passion
Father help us, police doing target practice with real bodies
Mommas in the streets, crying, standing over a still body
Niggas over stressing, we under investigation
Every day off to the races, can't fuck with you if you racist
Beat your ass until you purple
They can't even tell what your race is
Doctor King meet Dr. Dre
Except this doctor lost all his patience
Have you tied up in a basement
With you and your partner facing adjacent
Until you deposit payment or reparations
If you shoot me then you gotta deal with a holy me
It feel like I'm finally free and unlock my spirit with the holy key (the holy key, the holy key, the holy key...)""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;Betty Wright;"""And I'ma celebrate it for a long time
The drama couldn't break me, now it's all mine
Surrounded by my angels and we all shine
Holy, holy, holy, holy
And I'ma celebrate it for a long time
The drama couldn't break me, now it's all mine
Surrounded by my angels and we all shine
Holy, holy, holy, holy""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;DJ Khaled;"""holy key, holy key""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;Kendrick Lamar;"""Everything I touch may disintegrate into dust (uh huh)
Everything I trust may dishonor me in disgust (come on)
Everything is everything, affidavits and wedding rings
Out for blood on my higher horse, I report what it was
I don't wear crosses no more, Yeshua's coming back
I ain't scared of losses no more, I see life in that
I don't resonate with the concept of love and hate
Cause your perspective is less effective and rather fake
The universe and the heavens work in my DNA
Kendrick said ""Fuck Mother Earth,"" that's PSA
The land of the wicked, the foundation of Lucifer's spirit
Walking zombies and spellcatchers, I pray for forgiveness
Uncle Bobby and Paul June is lost again
The underworld and the fourth dimension, my family's in
The big money, the fast cars, my life produced
The blocks I connected while re-building this Rubik's cube
So what you look up to?
Fame and fortune, bitches, Porsches
Sources with designer thing
Brand endorsement joining forces with sorcerers signing me
Law enforcement their forces, tortures us with violent speed
Fuck your boss's employment my joy is to see all you bleed
Who knew Royce's with choices of color my desire need
Crab and Oyster with gorgeous abortions, I require thee
Flesh and poison the point is the reason
You won't die in peace
Open door for my boy, now they eating, we say, finally
I destroy and divorce what you eating, don't you hire me
Tape recording my voices and tweak it
Let's play hide and seek
War distortion and forfeit this evening, you should try at least
I'm restoring the portrait of feasting, nigga, I am beast
I don't like to sleep, I'm up like coyote, I might OD
Hair like ODB, I'm off a higher need
Khaled is valid, I been looking for inspiration
But when you the only king, you the only one in the matrix""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;Betty Wright;"""And I'ma celebrate it for a long time
The drama couldn't break me, now it's all mine
Surrounded by my angels and we all shine
Holy, holy, holy, holy
And I'ma celebrate it for a long time
The drama couldn't break me, now it's all mine
Surrounded by my angels and we all shine
Holy, holy, holy, holy""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;DJ Khaled;"""holy key, holy key""";4
Major Keys;Holy Key;DJ Khaled; Betty Wright, Big Sean & Kendrick Lamar;Betty Wright;"""Holy, Holy key, holy""";4
Major Keys;Jermaine's Interlude;DJ Khaled;EarthGang & J. Cole;EarthGang;"""Can't call it, can't call it
I never came from deep pockets
Why can't I make a deposit?
Can't call it, uh, can't call it
Yeah, can't call it, I can't call it
I never came from deep pockets
Why can't I make a deposit?
Can't call it, yeah, I can't call it""";5
Major Keys;Jermaine's Interlude;DJ Khaled;EarthGang & J. Cole;J.Cole;"""Oh, I had so many days of crying
Oh, I had so many days of pain
Have you ever been as sad as I am?
Lord, I ask if anything would change?
I can see the future that we're heading
I would say it's better not to tell
If it's anything like this in Heaven
Maybe I'd be better off in hell
(Better off in hell)""";5
Major Keys;Jermaine's Interlude;DJ Khaled;EarthGang & J. Cole;J.Cole;"""Tables do turn and labels do burn
The second they ask you to sell your soul
Don't you do it, don't you fold
Say ""Fuck that shit"" and be bold
Cause all them stories you told
On records worth more than gold
And if you never go gold again, at least you will know
The end of your road was chose, by you and not companies
Who control our remote control, and hide the truth on my no
But don't mind me, I'm just high again
Smokin' weed to get by again
No, actually I'm lyin'
Cause smokin' it got me smilin'
And rhyming like I rhyme
Way back when I would play the violin
Thought that shit wasn't cool
Momma sorry, I just stopped tryin' it
Paid for your house
In hopes there'd be no more reason for cryin'
That shows you how stupid I am
Cause niggas is out here dying
From police that flash the siren
And pull up and just start firin'
Niggas murkin' each other
In murky water I try and swim
How the fuck do I look
When I brag to you about some diamond?
Said all that I could say
Now I play with thoughts of retirement""";5
